Feature1,Feature2,Feature3,Target
1.7494547413051793,3.5496579711338105,-4.940010353842427,0
-0.28607299681629417,7.583374295055157,-2.3978649289424183,1
-0.4845651322211443,2.970969358534732,-0.8701266653741473,1
-2.653318559261479,6.038528963636807,-1.576873316332752,1
-0.00828462937293584,7.616169036798453,-4.461415002514108,0
-0.31963136376429824,3.096145177004691,-4.470450469260848,0
-0.53662936223473,9.270815177520204,-3.247769194242592,0
0.3154026684256969,6.769801263417035,-3.1905868194825358,0
0.42105071625547846,0.5971435325902368,-1.8488205838592555,0
-1.0656029804488336,7.84466101654788,-3.4446743081919973,1
-0.886239669955473,8.890224110000982,-1.2731642335406224,0
-0.4757334926833952,4.521271306903394,-3.753305425551871,0
0.6896823102014212,4.657843624204873,-1.4027023894075996,0
0.5611921760332811,5.7957342041818505,-5.130251426673599,1
-1.3055485097805806,1.2252762925422171,-3.783151298046496,0
-1.1194752615996189,5.359470618581102,-2.8951327808548815,1
0.7368373912295207,6.925839090505539,-1.7101500517771258,0
1.5746340731042836,3.939796599529621,-2.1631978632854,1
-0.03107508846786004,7.285448892182719,-4.249194218072976,1
-0.6834466274652374,9.486199114082869,-4.9017218175203805,1
1.095629698519445,1.100935748508045,-2.9836129141394774,0
-0.309576637220662,1.4050396349259309,-3.0792544240416797,0
0.7257522247990231,3.6226301156978034,-3.5350345910089893,0
1.5490716333717869,6.316443294649135,-2.9811446878550276,0
0.6300798224934151,5.811953689519824,-4.9391420990786825,0
0.07349323700188944,3.195097891134293,-2.182186333222673,1
0.7322713538852552,2.7568963627223866,-1.459602268240635,1
-0.6425753924333545,3.566996089393912,-4.279400585946121,0
-0.17809317531243007,8.456421250574563,-4.225622688113754,0
-0.5739545594102069,3.1214524473658143,-1.1051045316092485,0
-0.20437531566217204,3.871396441724767,-1.341767610947469,1
-0.4864951001088207,6.958425597886151,-4.136882453156047,0
-0.18577532395900828,4.496630743323291,-3.967352823707754,1
